sizing_mean,sizing_min,sizing_max,sizing_std,deltas_mean,deltas_min,deltas_max,deltas_std,fin,syn,rst,ack,psh,urg,packet_count,label
59.971681415929204,40.0,64.0,0.6932632883686868,0.0024908061994716488,1.9073486328125e-06,0.6216769218444824,0.025544061413487106,1.0,1127.0,1.0,2.0,0.0,0.0,1130,1
59.863829787234046,40.0,64.0,1.515371667339914,0.02247202090727977,1.9073486328125e-06,1.0398430824279785,0.09246080956636453,1.0,232.0,1.0,2.0,0.0,0.0,235,1
59.95794392523364,40.0,64.0,0.8192243177768401,0.08277464456407735,1.9073486328125e-06,54.68947386741638,1.3539440532722038,3.0,1705.0,2.0,6.0,0.0,0.0,1712,1
59.86013986013986,40.0,64.0,1.5264630656942382,0.005470817891236777,1.9073486328125e-06,0.726970911026001,0.042491691820272494,1.0,424.0,2.0,3.0,0.0,0.0,429,1
59.918279569892476,40.0,64.0,1.1480648736455357,0.003588852507690824,1.9073486328125e-06,0.2625458240509033,0.013830786646598805,3.0,922.0,2.0,6.0,0.0,0.0,930,1
59.69590643274854,40.0,64.0,2.329805772723038,0.8258833113838645,1.9073486328125e-06,132.55270981788635,10.133004544808129,1.0,167.0,2.0,2.0,0.0,0.0,171,1
60.0,60.0,60.0,0.0,0.10037933475663835,0.007324934005737305,0.25049304962158203,0.027052367600836492,0.0,924.0,0.0,0.0,0.0,0.0,924,1
59.8125,52.0,60.0,1.2103072956898178,0.017448548001552516,1.9073486328125e-06,8.49898099899292,0.37587499758857684,3.0,500.0,0.0,12.0,0.0,0.0,512,1
52.0,52.0,52.0,0.0,4.628726414271763e-05,3.814697265625e-06,0.0003159046173095703,7.843597813298131e-05,3.0,0.0,0.0,15.0,0.0,0.0,15,1
52.0,52.0,52.0,0.0,5.440711975097656e-05,1.1920928955078125e-06,0.00012612342834472656,4.8213259494726265e-05,4.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,1.722574234008789e-05,9.5367431640625e-07,4.410743713378906e-05,1.7636832089334462e-05,3.0,0.0,0.0,5.0,0.0,0.0,5,1
52.0,52.0,52.0,0.0,7.867813110351562e-05,2.09808349609375e-05,0.00012183189392089844,4.2437167628720455e-05,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,2.362511374733665e-05,2.86102294921875e-06,6.008148193359375e-05,1.8171202910513298e-05,3.0,0.0,0.0,12.0,0.0,0.0,12,1
52.0,52.0,52.0,0.0,2.0098686218261718e-05,9.5367431640625e-07,5.0067901611328125e-05,1.719626128063551e-05,4.0,0.0,0.0,11.0,0.0,0.0,11,1
52.0,52.0,52.0,0.0,3.682483326305043e-05,2.1457672119140625e-06,0.00019311904907226562,5.3350227338848493e-05,3.0,0.0,0.0,12.0,0.0,0.0,12,1
52.0,52.0,52.0,0.0,6.357828776041667e-06,9.5367431640625e-07,1.5974044799804688e-05,6.8170853659335265e-06,3.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,4.3392181396484375e-05,9.5367431640625e-07,0.00011992454528808594,4.771160263955725e-05,4.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,5.7220458984375e-06,9.5367431640625e-07,2.09808349609375e-05,6.516912948431356e-06,3.0,0.0,0.0,8.0,0.0,0.0,8,1
52.0,52.0,52.0,0.0,0.0004489421844482422,3.695487976074219e-05,0.0012309551239013672,0.0005532319426423519,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,1.150369644165039e-05,9.5367431640625e-07,2.193450927734375e-05,9.531339962492557e-06,4.0,0.0,0.0,5.0,0.0,0.0,5,1
52.0,52.0,52.0,0.0,2.2331873575846355e-05,9.5367431640625e-07,3.504753112792969e-05,1.520696089942448e-05,3.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,1.6689300537109375e-05,1.1920928955078125e-06,3.504753112792969e-05,1.3968697474813711e-05,3.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,1.996755599975586e-05,9.5367431640625e-07,5.602836608886719e-05,2.2299705969706977e-05,4.0,0.0,0.0,5.0,0.0,0.0,5,1
52.0,52.0,52.0,0.0,2.9802322387695312e-06,9.5367431640625e-07,8.106231689453125e-06,2.984996801745633e-06,4.0,0.0,0.0,5.0,0.0,0.0,5,1
52.0,52.0,52.0,0.0,3.787449428013393e-05,2.1457672119140625e-06,0.0001220703125,4.0344688597542144e-05,4.0,0.0,0.0,8.0,0.0,0.0,8,1
52.0,52.0,52.0,0.0,6.0176849365234376e-05,2.86102294921875e-06,0.00022602081298828125,8.404146356084438e-05,4.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,0.0014367103576660156,1.0013580322265625e-05,0.005341053009033203,0.002259104501758506,3.0,0.0,0.0,5.0,0.0,0.0,5,1
52.0,52.0,52.0,0.0,0.008092053731282552,4.0531158447265625e-06,0.11214709281921387,0.027893862592387533,3.0,0.0,0.0,16.0,0.0,0.0,16,1
52.0,52.0,52.0,0.0,2.0056962966918945e-05,9.5367431640625e-07,6.508827209472656e-05,2.1009073131587623e-05,3.0,0.0,0.0,17.0,0.0,0.0,17,1
52.0,52.0,52.0,0.0,0.00010398456028529576,5.0067901611328125e-06,0.000514984130859375,0.0001695137380502503,4.0,0.0,0.0,8.0,0.0,0.0,8,1
52.0,52.0,52.0,0.0,5.698204040527344e-05,5.0067901611328125e-06,0.0001537799835205078,6.85087396504942e-05,3.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,1.2954076131184896e-05,9.5367431640625e-07,3.600120544433594e-05,1.6301431447540074e-05,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,1.9216537475585936e-05,9.5367431640625e-07,8.487701416015625e-05,3.286809165720472e-05,3.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,1.4623006184895834e-05,1.0013580322265625e-05,1.9073486328125e-05,3.7003983582887065e-06,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,5.116462707519531e-05,6.9141387939453125e-06,0.00014019012451171875,4.772246693534427e-05,3.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,2.7179718017578125e-05,1.9073486328125e-06,9.584426879882812e-05,3.478460886471428e-05,3.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,5.0067901611328125e-06,1.9073486328125e-06,1.0967254638671875e-05,3.5242427585350232e-06,3.0,0.0,0.0,5.0,0.0,0.0,5,1
52.0,52.0,52.0,0.0,1.3510386149088542e-06,9.5367431640625e-07,1.9073486328125e-06,4.052336624139774e-07,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,0.0001004934310913086,1.3113021850585938e-05,0.0003008842468261719,0.00011707426524931535,4.0,0.0,0.0,5.0,0.0,0.0,5,1
52.0,52.0,52.0,0.0,9.584426879882813e-06,3.814697265625e-06,3.1948089599609375e-05,1.1182212619747982e-05,3.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,4.088878631591797e-05,1.1920928955078125e-06,0.0002071857452392578,6.521434590891742e-05,4.0,0.0,0.0,9.0,0.0,0.0,9,1
52.0,52.0,52.0,0.0,6.719069047407671e-06,1.9073486328125e-06,1.6927719116210938e-05,4.994718628218937e-06,3.0,0.0,0.0,12.0,0.0,0.0,12,1
52.0,52.0,52.0,0.0,5.9604644775390625e-06,9.5367431640625e-07,1.4066696166992188e-05,4.906443507017297e-06,4.0,0.0,0.0,5.0,0.0,0.0,5,1
52.0,52.0,52.0,0.0,8.821487426757812e-06,9.5367431640625e-07,2.9802322387695312e-05,1.0697531063314502e-05,3.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,2.2792816162109374e-05,7.867813110351562e-06,5.91278076171875e-05,1.9435194675300368e-05,3.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,2.9007593790690105e-05,9.5367431640625e-07,9.012222290039062e-05,3.250566260908332e-05,4.0,0.0,0.0,7.0,0.0,0.0,7,1
52.0,52.0,52.0,0.0,4.172325134277344e-06,9.5367431640625e-07,1.2159347534179688e-05,3.7006117053648033e-06,3.0,0.0,0.0,7.0,0.0,0.0,7,1
52.0,52.0,52.0,0.0,6.993611653645833e-06,9.5367431640625e-07,3.0994415283203125e-05,1.0819114164535916e-05,4.0,0.0,0.0,7.0,0.0,0.0,7,1
52.0,52.0,52.0,0.0,5.781650543212891e-06,9.5367431640625e-07,1.9073486328125e-05,7.689461213653187e-06,4.0,0.0,0.0,5.0,0.0,0.0,5,1
52.0,52.0,52.0,0.0,2.541542053222656e-05,9.5367431640625e-07,9.989738464355469e-05,3.815907048080422e-05,4.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,4.023313522338867e-05,6.9141387939453125e-06,9.107589721679688e-05,3.13510799441306e-05,3.0,0.0,0.0,5.0,0.0,0.0,5,1
52.0,52.0,52.0,0.0,3.427267074584961e-05,2.1457672119140625e-06,0.00011205673217773438,3.8483880952166566e-05,4.0,0.0,0.0,9.0,0.0,0.0,9,1
52.0,52.0,52.0,0.0,1.3637542724609376e-05,2.1457672119140625e-06,3.886222839355469e-05,1.4465073490649118e-05,4.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,4.100799560546875e-05,2.86102294921875e-06,0.0002040863037109375,5.6131754507014364e-05,3.0,0.0,0.0,11.0,0.0,0.0,11,1
52.0,52.0,52.0,0.0,4.609425862630208e-06,2.86102294921875e-06,8.106231689453125e-06,2.4726151126391165e-06,3.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,1.3780593872070312e-05,1.9073486328125e-06,2.5987625122070312e-05,9.646263677631265e-06,3.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,1.6768773396809895e-05,1.9073486328125e-06,4.1961669921875e-05,1.277512314949679e-05,3.0,0.0,0.0,10.0,0.0,0.0,10,1
52.0,52.0,52.0,0.0,2.487500508626302e-05,1.1920928955078125e-06,0.00010895729064941406,2.7983972704789053e-05,3.0,0.0,0.0,16.0,0.0,0.0,16,1
52.0,52.0,52.0,0.0,3.600120544433594e-05,3.0994415283203125e-06,6.890296936035156e-05,2.686417774391799e-05,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,2.9611587524414063e-05,1.9073486328125e-06,7.104873657226562e-05,2.8535188173144683e-05,3.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,9.002685546875e-05,5.0067901611328125e-05,0.0001621246337890625,3.937895515301757e-05,4.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,6.532669067382812e-05,2.86102294921875e-06,0.00017118453979492188,6.598410960100396e-05,3.0,0.0,0.0,7.0,0.0,0.0,7,1
52.0,52.0,52.0,0.0,9.584426879882813e-06,9.5367431640625e-07,3.0994415283203125e-05,1.1276367068115205e-05,4.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,1.33514404296875e-05,1.9073486328125e-06,3.600120544433594e-05,1.6016098198766752e-05,3.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,6.318092346191406e-06,9.5367431640625e-07,1.6927719116210938e-05,5.31117186783444e-06,3.0,0.0,0.0,7.0,0.0,0.0,7,1
52.0,52.0,52.0,0.0,7.181167602539062e-05,1.1920928955078125e-06,0.00020599365234375,7.36418452057734e-05,4.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,1.3399124145507813e-05,2.1457672119140625e-06,2.5033950805664062e-05,7.761467745982708e-06,3.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,5.322694778442383e-05,1.9073486328125e-06,0.0001308917999267578,5.3238493680593985e-05,4.0,0.0,0.0,5.0,0.0,0.0,5,1
52.0,52.0,52.0,0.0,1.5401840209960936e-05,9.5367431640625e-07,6.413459777832031e-05,2.4450450095977218e-05,4.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,3.631909688313802e-05,9.5367431640625e-07,0.00010609626770019531,4.9341446736660354e-05,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,1.0585784912109375e-05,9.5367431640625e-07,3.1948089599609375e-05,1.11956246956048e-05,3.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,2.132521735297309e-05,1.9073486328125e-06,5.1975250244140625e-05,1.6233918973888294e-05,3.0,0.0,0.0,10.0,0.0,0.0,10,1
52.0,52.0,52.0,0.0,9.775161743164062e-06,2.1457672119140625e-06,2.193450927734375e-05,8.274533099688662e-06,4.0,0.0,0.0,5.0,0.0,0.0,5,1
52.0,52.0,52.0,0.0,0.00012786047799246653,3.0994415283203125e-06,0.0007500648498535156,0.0002543683695612538,4.0,0.0,0.0,8.0,0.0,0.0,8,1
52.0,52.0,52.0,0.0,2.620220184326172e-05,1.1920928955078125e-06,0.0001270771026611328,3.7132796265976864e-05,3.0,0.0,0.0,11.0,0.0,0.0,11,1
