sizing_mean,sizing_min,sizing_max,sizing_std,deltas_mean,deltas_min,deltas_max,deltas_std,fin,syn,rst,ack,psh,urg,packet_count,label
40.0,40.0,40.0,0.0,8.016136884689331,8.016136884689331,8.016136884689331,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,2.0103819370269775,2.0103819370269775,2.0103819370269775,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,168.19055795669556,168.19055795669556,168.19055795669556,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,70.0779550075531,70.0779550075531,70.0779550075531,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,87.09941697120667,87.09941697120667,87.09941697120667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,129.14802718162537,129.14802718162537,129.14802718162537,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,7.007315158843994,7.007315158843994,7.007315158843994,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,185.20871901512146,185.20871901512146,185.20871901512146,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,179.2034878730774,179.2034878730774,179.2034878730774,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,157.1856610774994,157.1856610774994,157.1856610774994,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,159.18063712120056,159.18063712120056,159.18063712120056,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,7.00733494758606,7.00733494758606,7.00733494758606,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,2.9963760375976562,2.9963760375976562,2.9963760375976562,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,69.0774610042572,69.0774610042572,69.0774610042572,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,157.185800075531,157.185800075531,157.185800075531,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,173.1961178779602,173.1961178779602,173.1961178779602,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,3.0020079612731934,3.0020079612731934,3.0020079612731934,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,191.2102551460266,191.2102551460266,191.2102551460266,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,1.0101799964904785,1.0101799964904785,1.0101799964904785,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,119.13423609733582,119.13423609733582,119.13423609733582,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,25.02672815322876,25.02672815322876,25.02672815322876,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,145.1556260585785,145.1556260585785,145.1556260585785,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,59.06751990318298,59.06751990318298,59.06751990318298,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,97.10457992553711,97.10457992553711,97.10457992553711,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,17.00972604751587,17.00972604751587,17.00972604751587,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,71.07923197746277,71.07923197746277,71.07923197746277,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,153.18171000480652,153.18171000480652,153.18171000480652,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,185.2185800075531,185.2185800075531,185.2185800075531,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
